vehicle_id,make,model,model_year
017978fb-4b80-4176-ba7f-30c0b3c6e699,Ram,2500,2024
667d6382-d8ed-44ca-9431-9c0d2da11038,Ram,2500,2024
d969c7ba-e023-4a11-8c7d-7a1dda73be17,Ram,2500,2025
fa006b01-c3fd-442b-9b18-c17514c1d4b5,Jeep,Wrangler,2025
59227246-e7da-4a30-9ce2-4dbb144c6387,Chrysler,Pacifica,2025
c30dcc1e-eea2-4ad3-8eda-424dd4c2ef8a,Ram,2500,2024
e0b711fa-c0a3-4756-9f0d-396a68964f42,Ram,2500,2026
48415eb8-ad5d-445e-976b-8fa6a356064b,Ram,2500,2026
3b62ee8b-03fa-4abe-9af5-436f06320c12,Jeep,Gladiator,2025
8556c773-dbb4-4354-9b51-66d29e5848d9,Chrysler,Pacifica,2025
fd37e8d6-6f6e-4987-aa77-6b1c5112298d,Jeep,Gladiator,2025
5a569f3e-62a0-4218-b15f-9d01619010ad,Chrysler,Pacifica,2025
0453225e-6d80-4995-a6b6-a2e8536998e2,Jeep,Wrangler,2025
5d4e33a3-a7b9-497e-a463-7d0f08f0e511,Ram,1500,2024
963a0291-4752-41d2-b1ed-4bdc8a0cec65,Ram,2500,2024
9f34fd6f-557b-4a4f-8acd-f08f64570e9c,Jeep,Wrangler,2025
c36ab7fb-93b9-49e4-bb5a-464ac498b297,Ram,2500,2025
0897cd8b-b0e1-4c91-8b3c-25371de9df3f,Ram,2500,2025
67479ddf-ee87-4351-81af-41c1f0df5ab3,Ram,2500,2024
3f3d8dfa-b36c-44c1-a32f-6eb470de7481,Ram,2500,2026
efe52951-d059-4f47-af6d-90c95ede25c5,Jeep,Wrangler,2025
5f95a60f-75d9-4da3-9afa-0c4bed61e346,Ram,2500,2024
87e2a61a-1b6a-4a80-b61e-526f4cb410a9,Ram,2500,2026
d95cde6c-d29d-4888-841e-0e30f242f542,Jeep,Wrangler,2025
d507a395-b369-409a-af3f-c66588ee9259,Ram,2500,2025
3b632619-ecf4-4040-b8fe-573c150fb71a,Ram,2500,2026
3f4a762e-b87d-4bc9-b173-7cf928582873,Ram,2500,2024
124f12ce-c9de-4aa9-b448-cd46ab4c9c46,Ram,2500,2023
11b598a7-cc34-4216-9ba1-85a4fe981c23,Ram,2500,2026
103da8cf-dcc8-4eb7-b146-d0fb68351bc5,Ram,2500,2026
9cfdfe56-0ff6-461e-b9d8-55539e05766d,Ram,2500,2026
62819eb1-0f3f-4f0d-99bd-e77e7e48f97d,Ram,3500,2022
3a7aa65c-83ad-4351-bfcf-f8e92635f0c2,Ram,3500,2024
eb409d5e-e920-4301-967f-96dc500e2c5f,Ram,2500,2024
b06cbbf9-6040-4d0c-8630-ad91b4dbe7fd,Ram,1500,2025
613b9bea-d7d3-4064-b48b-74a50171885a,Ram,2500,2026
d963f949-7142-43a5-a8c3-a0ac0450d1df,Ram,2500,2024
b8036036-3ef5-45d3-9376-202a20a274b3,Ram,2500,2022
7bb1a5c0-cbeb-4956-98b6-19572917fd1b,Ram,2500,2022
9df2b909-1997-4c3f-9b6b-dc283611b128,Ram,2500,2026
dbce3bfe-046e-4566-a3a5-90911ffe70ca,Ram,2500,2026
bec3c00b-ead1-4eea-bad7-dfbdec86c20f,Ram,2500,2026
70dd85ea-b9cf-428f-a2db-e04b67487472,Ram,2500,2026
440b0d86-c47d-458b-b80c-93d26698b51c,Ram,2500,2024
6c06ff76-052a-4635-8da2-4c9e555d9d10,Ram,2500,2026
eb1c1691-0186-47ac-b86f-2044939344f1,Ram,2500,2026
76ba7e9b-19a4-4172-aead-c52a81df3e69,Ram,2500,2024
e51ab849-6d7a-4856-b3aa-396bbf039558,Chrysler,Pacifica Hybrid,2024
540fc134-201a-45d0-83d2-649a6cd4a276,Ram,2500,2026
d26c1fb2-9c73-45ee-9086-cf99fc8b6041,Ram,2500,2026
5046f8b9-58ae-4f85-aa3d-f0835ed6b073,Ram,2500,2026
3092401b-7d87-4567-80de-577131630b48,Ram,2500,2023
24a68495-93e6-4313-9a48-373f3d6d7e88,Ram,2500,2026
c258d26f-4afd-43d9-83a5-57d0535d47d6,Ram,2500,2024
75142e9f-ed6f-4233-b159-1b153cb1a6cd,Ram,1500,2026
b3b8484a-bef7-4a89-9c22-5c68d45e5d6b,Ram,1500,2026
c2adf127-304a-414c-8b71-ce623e8d753c,Ram,2500,2026
c1931156-5331-4fe7-9a0b-d0868a22590a,Jeep,Gladiator,2025
69e916c3-527f-4742-8c3c-fda974a89469,Ram,2500,2026
0feb417d-9749-468b-bb3d-e80e9b599954,Ram,2500,2026
0d4e44ea-d7c3-4d72-8495-4b70059463f2,Ram,2500,2025
3c2d86cf-a0b0-4131-a668-4887d73ac0a0,Ram,3500,2026
4c1c01b7-e770-4fe1-b462-23f310bb04bd,Ram,2500,2025
56243efe-217e-4c0f-919c-22bfa49c25a5,Ram,2500,2025
5d16af24-baf5-4a70-88b3-a21ec801e144,Ram,2500,2025
acd8378e-9881-4ad1-bf1c-6acb7da77fdc,Ram,2500,2026
2921e1fb-ad45-4f17-8d4f-3f75c43a3d80,Ram,2500,2025
